93
153
75
35
0	0.00935192	0.010651
1	0.989973	0.0134093
2	9.50267	7.79068
3	2.99808	0.00555824
4	4.01094	-0.00281615
5	4.98264	0.00319329
6	5.99032	-0.0064044
7	7.00802	0.00440068
8	8.00758	0.00437286
9	9.00261	0.00291501
10	0.514013	0.852535
11	1.48071	0.860227
12	8.49433	7.79801
13	3.49997	0.869498
14	4.5056	0.869519
15	5.48503	0.858
16	6.50163	0.864389
17	7.48254	0.850987
18	8.48955	0.87146
19	9.49973	0.876029
20	-0.00222825	1.70409
21	0.988676	1.73194
22	1.99185	1.72931
23	2.99955	1.71673
24	4.00598	1.73335
25	5.00648	1.74398
26	5.99408	1.74753
27	7.00389	1.73731
28	8.00236	1.72847
29	9.01563	1.74583
30	0.493839	2.60786
31	1.50594	2.61482
32	2.50817	2.59101
33	3.50072	2.59188
34	4.50425	2.58818
35	5.52222	2.5968
36	6.50039	2.60788
37	7.49548	2.59972
38	8.48625	2.58962
39	9.49606	2.58502
40	0.00185629	3.48015
41	1.00801	3.47628
42	1.97602	3.44173
43	7.50707	7.81603
44	4.01376	3.45574
45	5.01538	3.47578
46	6.00457	3.47918
47	6.99629	3.45878
48	8.00557	3.4714
49	8.99309	3.44549
50	0.495412	4.31734
51	1.48369	4.33234
52	2.48722	4.32205
53	3.49813	4.34429
54	4.509	4.32332
55	5.4864	4.32871
56	6.51023	4.33862
57	7.47638	4.33104
58	8.50508	4.32032
59	9.50263	4.33169
60	-0.00814805	5.19212
61	1.01481	5.20619
62	1.99183	5.1854
63	3.00002	5.19604
64	4.01163	5.20851
65	5.0017	5.19602
66	6.48216	7.78523
67	5.51488	7.78529
68	7.98333	5.20179
69	4.51175	7.78792
70	3.50338	7.79863
71	1.50088	6.06616
72	2.49323	6.07801
73	3.50055	6.06166
74	4.50528	6.07722
75	5.51189	6.05291
76	6.49759	6.0655
77	7.49636	6.05949
78	8.50969	6.07415
79	9.48985	6.07292
80	0.00436015	6.93269
81	1.00333	6.91023
82	1.9947	6.91944
83	2.98512	6.92211
84	3.98833	6.93732
85	5.00745	6.91376
86	5.9972	6.93297
87	7.01274	6.90853
88	7.98859	6.93439
89	9.00705	6.93725
90	0.500506	7.78934
91	1.48564	7.79168
92	2.49869	7.78106
0	1	0	0	1
0	19	-1	0	1
0	2	-1	-1	1
1	10	0	0	1
1	90	0	-1	1
2	80	1	0	1
2	89	0	0	1
2	90	1	0	1
3	13	0	0	1
3	4	0	0	1
4	13	0	0	1
4	5	0	0	1
4	69	0	-1	1
4	14	0	0	1
5	69	0	-1	1
5	6	0	0	1
5	67	0	-1	1
6	16	0	0	1
7	43	0	-1	1
7	66	0	-1	1
7	8	0	0	1
8	43	0	-1	1
8	9	0	0	1
8	12	0	-1	1
9	18	0	0	1
9	12	0	-1	1
10	11	0	0	1
10	21	0	0	1
11	22	0	0	1
12	43	0	0	1
12	89	0	0	1
13	24	0	0	1
13	14	0	0	1
13	23	0	0	1
14	15	0	0	1
14	25	0	0	1
15	16	0	0	1
15	26	0	0	1
15	25	0	0	1
16	17	0	0	1
16	27	0	0	1
16	26	0	0	1
17	18	0	0	1
17	27	0	0	1
17	28	0	0	1
18	19	0	0	1
18	29	0	0	1
19	20	1	0	1
19	29	0	0	1
